bait,bait_uniprot,prey_gene,prey_uniprot
CBX8,,ZRANB1,
CCDC6,,ANKRD23,
CCDC6,,ATF5,
CCDC6,,CENPQ,
CCDC6,,CYTH4,
CCDC6,,GAS8,
CCDC6,,HMG20A,
CCDC6,,LHX3,
CCDC6,,LRSAM1,
CCDC6,,LUZP4,
CCDC6,,MAPK7,
CCDC6,,MEOX2,
CCDC6,,MTUS2,
CCDC6,,PAX6,
CCDC6,,PIN1,
CCDC6,,RALBP1,
CCDC6,,SNAPC1,
CCDC6,,SORBS3,
CCDC6,,TFIP11,
CCDC6,,TRIM14,
CCDC6,,ZNF250,
CCDC6,,ZNF620,
CCDC6,,ZNF835,
CCDC91,,CDC37,
CCDC91,,DAPK2,
CCDC91,,LNX1,
CCDC91,,PRR5L,
CD300C,,FAM210B,
CD300C,,GPR151,
CD300C,,GPR42,
CD300C,,LEPROTL1,
CD300C,,TMEM167B,
CD300C,,UNC93A,
CDC42EP3,,COPE,
CEP290,,BBLN,
CEP290,,KIAA1328,
CEP57,,AARD,
CEP57,,ABI2,
CEP57,,ATPAF2,
CEP57,,CCDC138,
CEP57,,CCDC185,
CEP57,,CCHCR1,
CEP57,,CEP63,
CEP57,,DEUP1,
CEP57,,DISC1,
CEP57,,FBXL3,
CEP57,,GCC1,
CEP57,,HSF2BP,
CEP57,,KDM1A,
CEP57,,KLC4,
CEP57,,KRT4,
CEP57,,KRT75,
CEP57,,KRT8,
CEP57,,KRT83,
CEP57,,KRT86,
CEP57,,LMO3,
CEP57,,MAGEA2,
CEP57,,OIP5,
CEP57,,PKN1,
CEP57,,PPP1R13B,
CEP57,,RABEP1,
CEP57,,RASSF10,
CEP57,,SH3BP5L,
CEP57,,SPDEF,
CEP57,,TEX12,
CEP57,,TFIP11,
CEP57,,TSGA10,
CEP57,,TSPYL4,
CEP57,,TXLNA,
CEP57,,TXLNB,
CETN3,,AGR2,
CETN3,,CKMT2,
CETN3,,LDB2,
CETN3,,POC5,
CETN3,,RCN1,
CETN3,,SGK1,
CETN3,,SGSM1,
CETN3,,TNNI1,
CHERP,,ADAMTSL4,
CHERP,,C1orf94,
CHERP,,CLK3,
CHERP,,FASTK,
CHERP,,FIGN,
CHERP,,KRTAP11-1,
CHERP,,LASP1,
CHERP,,MAGED1,
CHERP,,RBFOX2,
CHERP,,SORBS3,
CHERP,,TLE3,
CHRNB1,,ASB6,
CSGALNACT2,,ARL13B,
CSGALNACT2,,BSND,
CSGALNACT2,,CLDN2,
CSGALNACT2,,CREB3L1,
CSGALNACT2,,CYB5R3,
CSGALNACT2,,FCGR2A,
CSGALNACT2,,GPR152,
CSGALNACT2,,HSD17B11,
CSGALNACT2,,MUC1,
CSGALNACT2,,RETREG3,
CSGALNACT2,,SLC35E3,
CSGALNACT2,,SSMEM1,
CSGALNACT2,,SYT1,
CSGALNACT2,,TMEM52B,
CSGALNACT2,,UBE2I,
CST4,,UBQLN2,
CTLA4,,CTXN3,
CTLA4,,MALL,
CTLA4,,TMEM218,
CTRC,,CYSRT1,
CTRC,,GIPC2,
CTRC,,KRT34,
CTRC,,KRTAP1-1,
CTRC,,KRTAP10-8,
CTRC,,KRTAP3-1,
CTRC,,KRTAP6-2,
CTRC,,KRTAP9-2,
CTRC,,MDFI,
CTRC,,NFKBID,
CTRC,,SPMIP9,
CTRC,,VGLL3,
CTTNBP2NL,,HSF2BP,
CTTNBP2NL,,PKNOX2,
DCTN5,,DYNLL1,
DDIT4L,,ABCB11,
DDIT4L,,ACY3,
DDIT4L,,AFMID,
DDIT4L,,AIDA,
DDIT4L,,AKT1,
DDIT4L,,ARHGEF3,
DDIT4L,,ARK2N,
DDIT4L,,ARPIN,
DDIT4L,,ASTN1,
DDIT4L,,BAG4,
DDIT4L,,BANF2,
DDIT4L,,BCL2L14,
DDIT4L,,BID,
DDIT4L,,C14orf119,
DDIT4L,,C19orf25,
DDIT4L,,C5orf22,
DDIT4L,,CABP5,
DDIT4L,,CARD9,
DDIT4L,,CATIP,
DDIT4L,,CCNH,
DDIT4L,,CCNK,
DDIT4L,,CDA,
DDIT4L,,CDC45,
DDIT4L,,CDKN2D,
DDIT4L,,CDPF1,
DDIT4L,,CENPP,
DDIT4L,,CEP19,
DDIT4L,,CHMP1A,
DDIT4L,,CLIC3,
DDIT4L,,CLK2,
DDIT4L,,CLK3,
DDIT4L,,CPNE7,
DDIT4L,,CPSF1,
DDIT4L,,CRLF3,
DDIT4L,,CRYBB1,
DDIT4L,,CSK,
DDIT4L,,CTAG1A,
DDIT4L,,CTNNA3,
DDIT4L,,DBI,
DDIT4L,,DCTPP1,
DDIT4L,,DEUP1,
DDIT4L,,DNPH1,
DDIT4L,,DUSP23,
DDIT4L,,DUSP29,
DDIT4L,,EIF4A2,
DDIT4L,,EIF4A3,
DDIT4L,,EIF4EBP1,
DDIT4L,,EIF4H,
DDIT4L,,EMILIN1,
DDIT4L,,EML3,
DDIT4L,,EMSY,
DDIT4L,,EPHB6,
DDIT4L,,EXOSC1,
DDIT4L,,EXOSC5,
DDIT4L,,EXOSC8,
DDIT4L,,FAAP20,
DDIT4L,,FADD,
DDIT4L,,FAM200C,
DDIT4L,,FHIT,
DDIT4L,,FHL2,
DDIT4L,,FKBP6,
DDIT4L,,FLNA,
DDIT4L,,GADD45G,
DDIT4L,,GEMIN6,
DDIT4L,,GET3,
DDIT4L,,GPKOW,
DDIT4L,,GRB2,
DDIT4L,,GTF2H5,
DDIT4L,,GTPBP3,
DDIT4L,,GUCA1A,
DDIT4L,,HDAC7,
DDIT4L,,HMG20A,
DDIT4L,,HSPB7,
DDIT4L,,IL36RN,
DDIT4L,,IMPDH1,
DDIT4L,,KANK2,
DDIT4L,,KCTD9,
DDIT4L,,KDM8,
DDIT4L,,KRT34,
DDIT4L,,KRTAP5-6,
DDIT4L,,LENG1,
DDIT4L,,LGALS14,
DDIT4L,,LGALS7,
DDIT4L,,LGALSL,
DDIT4L,,LMO1,
DDIT4L,,LRATD2,
DDIT4L,,LSM3,
DDIT4L,,LSM5,
DDIT4L,,LSM7,
DDIT4L,,MAGEB2,
DDIT4L,,MAP3K7CL,
DDIT4L,,MAPRE2,
DDIT4L,,MAPRE3,
DDIT4L,,MEMO1,
DDIT4L,,MIEN1,
