bait,bait_uniprot,prey_gene,prey_uniprot
C22orf41,,NIN,
C22orf41,,OCIAD1,
C22orf41,,OMA1,
C22orf41,,PEX11B,
C22orf41,,PLK1S1,
C22orf41,,PRDM6,
C22orf41,,RB1CC1,
C22orf41,,RER1,
C22orf41,,RUNX1T1,
C22orf41,,SASS6,
C22orf41,,SCLT1,
C22orf41,,SNAP29,
C22orf41,,SPAG5,
C22orf41,,TRIM24,
C22orf41,,TRIM71,
C22orf41,,UBB,
C22orf41,,VPS53,
C22orf41,,YIPF3,
C22orf41,,ZWINT,
C22orf43,,CSNK1E,
C22orf43,,RPL36AL,
C22orf43,,ZNF852,
C2orf51,,FAM136A,
C2orf51,,PCBP4,
C2orf51,,RABL5,
C2orf51,,STMN3,
C2orf51,,TRAT1,
C7orf33,,ACTA2,
C7orf33,,TNNC2,
C8orf22,,PCBP4,
CA14,,ATR,
CA14,,COG2,
CA14,,COG4,
CA14,,COG7,
CA14,,COG8,
CA14,,EIF2B1,
CA14,,EIF2B2,
CA14,,EIF2B3,
CA14,,EIF2B4,
CA14,,EIF2B5,
CA14,,EXOC5,
CA14,,EXOC6,
CA14,,EXOC6B,
CA14,,EXOC7,
CA14,,FAM176B,
CA14,,IQCB1,
CA14,,KIF14,
CA14,,LTN1,
CA14,,MON2,
CA14,,NCAPH2,
CA14,,NF1,
CA14,,PEX19,
CA14,,PI4KA,
CA14,,SAAL1,
CA14,,SLC22A18,
CA14,,SLC38A7,
CA14,,THADA,
CA14,,TNPO2,
CA14,,XPO4,
CA14,,XPO6,
CALM1,,ABL2,
CALM1,,AGAP3,
CALM1,,AKAP9,
CALM1,,ANLN,
CALM1,,ARFIP2,
CALM1,,ARHGAP21,
CALM1,,ARHGAP8,
CALM1,,ARHGEF17,
CALM1,,ARNT,
CALM1,,ASPM,
CALM1,,ATP2B1,
CALM1,,ATP2B2,
CALM1,,ATP2B3,
CALM1,,ATP2B4,
CALM1,,C12orf35,
CALM1,,C3orf37,
CALM1,,C7orf55,
CALM1,,C9orf40,
CALM1,,CALML3,
CALM1,,CAMK1,
CALM1,,CAMK1D,
CALM1,,CAMK2B,
CALM1,,CAMK2D,
CALM1,,CAMK2G,
CALM1,,CAMKK1,
CALM1,,CAMKK2,
CALM1,,CAMKMT,
CALM1,,CCDC102A,
CALM1,,CCDC8,
CALM1,,CCDC88A,
CALM1,,CDC73,
CALM1,,CEP290,
CALM1,,CHMP1A,
CALM1,,CIR1,
CALM1,,CUL7,
CALM1,,DDX49,
CALM1,,DENND4A,
CALM1,,DENND4B,
CALM1,,DENND4C,
CALM1,,DGCR14,
CALM1,,DLG3,
CALM1,,DOCK7,
CALM1,,DUSP22,
CALM1,,EFHA1,
CALM1,,ELF2,
CALM1,,EME1,
CALM1,,EPHA4,
CALM1,,FAM64A,
CALM1,,FAM83B,
CALM1,,FBXO30,
CALM1,,FBXW8,
CALM1,,FECH,
CALM1,,FLYWCH2,
CALM1,,GFM2,
CALM1,,GRAMD1A,
CALM1,,GRAMD1B,
CALM1,,GRAMD1C,
CALM1,,HINT3,
CALM1,,HLCS,
CALM1,,HNRPLL,
CALM1,,INVS,
CALM1,,IQCB1,
CALM1,,IQGAP1,
CALM1,,IQGAP2,
CALM1,,IQSEC2,
CALM1,,IRX5,
CALM1,,ITPKA,
CALM1,,JRK,
CALM1,,KDM3B,
CALM1,,KIF1A,
CALM1,,KIF1B,
CALM1,,KIF1C,
CALM1,,MAML1,
CALM1,,MAP7D3,
CALM1,,MCM3AP,
CALM1,,MTPAP,
CALM1,,MUS81,
CALM1,,MYO19,
CALM1,,MYO1E,
CALM1,,MYO3A,
CALM1,,MYO5B,
CALM1,,NET1,
CALM1,,NFATC2IP,
CALM1,,NSUN5,
CALM1,,NT5C3,
CALM1,,NUDT9,
CALM1,,OBSL1,
CALM1,,OSBPL9,
CALM1,,OSTF1,
CALM1,,PCNT,
CALM1,,PDE4DIP,
CALM1,,PDF,
CALM1,,PEAK1,
CALM1,,PHKA1,
CALM1,,PHKA2,
CALM1,,PHKB,
CALM1,,PHKG2,
CALM1,,PLEKHA5,
CALM1,,PLEKHG3,
CALM1,,PML,
CALM1,,POLRMT,
CALM1,,PPP3CA,
CALM1,,PPP3CB,
CALM1,,PPP3CC,
CALM1,,PPP3R1,
CALM1,,PRIM1,
CALM1,,PRKAR2B,
CALM1,,QSER1,
CALM1,,RDH13,
CALM1,,RPL23,
CALM1,,SAMD1,
CALM1,,SCAF11,
CALM1,,SFI1,
CALM1,,SH2B1,
CALM1,,SHB,
CALM1,,SNW1,
CALM1,,SSFA2,
CALM1,,TBC1D1,
CALM1,,TBC1D4,
CALM1,,TCEAL8,
CALM1,,TEAD1,
CALM1,,TPP2,
CALM1,,UBE3B,
CALM1,,UHRF1BP1,
CALM1,,UNC13B,
CALM1,,VPS13A,
CALM1,,VPS13C,
CALM1,,VPS13D,
CALM1,,WFS1,
CALM1,,WNK1,
CALM1,,XRN1,
CALM1,,YRDC,
CALM1,,ZBED1,
CALM1,,ZBED4,
CALM1,,ZKSCAN1,
CALM1,,ZNF451,
CALR3,,GPR98,
CALR3,,TMEM132A,
CALR3,,UBR5,
CCDC114,,ASPM,
CCDC114,,ATF7,
CCDC114,,C11orf2,
CCDC114,,CCDC22,
CCDC114,,CCDC93,
CCDC114,,CENPH,
CCDC114,,CEP55,
CCDC114,,COG1,
CCDC114,,COG5,
CCDC114,,COG6,
CCDC114,,COMMD1,
CCDC114,,COMMD10,
CCDC114,,COMMD2,
CCDC114,,COMMD3,
CCDC114,,COMMD4,
CCDC114,,COMMD5,
CCDC114,,COMMD6,
CCDC114,,COMMD7,
CCDC114,,COMMD8,
CCDC114,,COMMD9,
CCDC114,,CYTH3,
CCDC114,,EXOC7,
CCDC114,,FAM45A,
CCDC114,,HAUS1,
CCDC114,,HGS,
CCDC114,,IFT74,
CCDC114,,MED29,
CCDC114,,MYO5C,
CCDC114,,MZT2A,
CCDC114,,MZT2B,
CCDC114,,ODF2,
CCDC114,,PCNT,
CCDC114,,PDCD7,
CCDC114,,PLEKHO1,
CCDC114,,RGPD5,
CCDC114,,SDCCAG3,
CCDC114,,SDCCAG8,
CCDC114,,SETDB1,
CCDC114,,SNX1,
CCDC114,,SNX5,
CCDC114,,SPAG5,
CCDC114,,SRGAP2,
CCDC114,,TMEM192,
CCDC114,,TRPM4,
CCDC114,,TSSC1,
CCDC114,,TXLNA,
CCDC114,,TXLNG,
CCDC114,,VEZT,
CCDC114,,VPS52,
CCDC19,,GLS,
CCDC19,,SAR1B,
CCDC28A,,C1orf43,
CCDC28A,,IL17F,
CCDC28A,,KIAA1109,
CCDC40,,ANKRD26,
CCDC40,,CAP2,
CCDC40,,CENPH,
CCDC40,,COG4,
CCDC40,,CYTH1,
CCDC40,,CYTH2,
CCDC40,,FAM83D,
CCDC40,,IKZF1,
CCDC40,,KIAA0319L,
CCDC40,,PCM1,
CCDC40,,POTEI,
CCDC40,,PSMC3,
CCDC40,,STIM1,
CCDC40,,TMTC4,
CCDC40,,TNIP2,
CCDC40,,TRAF5,
CCDC40,,UNC13B,
CCDC40,,VPS53,
CCDC89,,C15orf23,
CCDC89,,FBXO28,
CCDC89,,KIAA1279,
CCDC89,,KIAA1712,
CCDC89,,KIF14,
CCDC89,,KIF20B,
CCDC89,,RPS27A,
CCDC89,,SLMAP,
CCDC89,,SPAG5,
CCDC89,,ZMYM6,
CDC42EP4,,FHL2,
CDC42EP4,,KLHL15,
CDC42EP4,,SEPT11,
CDC42EP4,,SEPT14,
CDC42EP4,,SEPT2,
CDC42EP4,,SEPT3,
CDC42EP4,,SEPT4,
CDC42EP4,,SEPT5,
CDC42EP4,,SEPT6,
CDC42EP4,,SEPT7,
CDC42EP4,,SEPT8,
CDC42EP4,,SEPT9,
CDHR4,,COMMD9,
CDHR4,,HSPA5,
CDHR4,,LOC100510688,
CDHR4,,MRC2,
CDHR4,,PTPRK,
